frame_index,timestamp_seconds,pred_x,pred_y,pred_z
0,0.0,-0.08375318348407745,-0.002996559254825115,1.0181639194488525
1,0.06666666666666667,-0.0772605687379837,-0.009951724670827389,1.0188302993774414
2,0.13333333333333333,-0.07025286555290222,-0.012340868823230267,1.0058465003967285
3,0.2,-0.06370110809803009,-0.02357625588774681,0.9945587515830994
4,0.26666666666666666,-0.053203318268060684,-0.031115692108869553,0.9943752288818359
5,0.3333333333333333,-0.04849245771765709,-0.04124518856406212,0.9987010359764099
6,0.4,-0.04835033044219017,-0.04668505862355232,0.9961323142051697
7,0.4666666666666667,-0.03934546932578087,-0.07409220933914185,0.9978821873664856
8,0.5333333333333333,-0.04096588119864464,-0.07037466764450073,0.999167263507843
9,0.6,-0.046190690249204636,-0.07974837720394135,1.0006933212280273
10,0.6666666666666666,-0.040821436792612076,-0.08264537155628204,1.001391887664795
11,0.7333333333333333,-0.02785808965563774,-0.08421242237091064,0.9982574582099915
12,0.8,-0.024292316287755966,-0.08273706585168839,0.9964936375617981
13,0.8666666666666667,-0.02304614707827568,-0.08219140022993088,0.9973565936088562
14,0.9333333333333333,-0.014617349952459335,-0.0823732390999794,1.0011837482452393
15,1.0,-0.004327684640884399,-0.08152207732200623,0.9996635317802429
16,1.0666666666666667,0.0005995966494083405,-0.07900368422269821,1.0008225440979004
17,1.1333333333333333,0.004337090998888016,-0.07855303585529327,1.0017009973526
18,1.2,0.0111813023686409,-0.07789536565542221,1.0048623085021973
19,1.2666666666666666,0.007732819765806198,-0.0758223682641983,1.0061755180358887
20,1.3333333333333333,0.016176462173461914,-0.07904145121574402,1.0073907375335693
21,1.4,0.018281426280736923,-0.07838403433561325,1.0068869590759277
22,1.4666666666666666,0.01808994635939598,-0.0791720449924469,1.0078516006469727
23,1.5333333333333334,0.016484271734952927,-0.07805579900741577,1.0065362453460693
24,1.6,0.017003756016492844,-0.07882775366306305,1.0089486837387085
25,1.6666666666666667,0.016146600246429443,-0.0758742094039917,1.0048704147338867
26,1.7333333333333334,0.030565474182367325,-0.07530541718006134,0.9982300400733948
27,1.8,0.033156927675008774,-0.0753314346075058,0.9888812899589539
28,1.8666666666666667,0.03808392211794853,-0.0801490917801857,0.975432813167572
29,1.9333333333333333,0.02698437124490738,-0.0809917151927948,0.9592207074165344
30,2.0,0.02126937359571457,-0.07465457916259766,0.9469534754753113
31,2.066666666666667,0.018736474215984344,-0.07327764481306076,0.931308925151825
32,2.1333333333333333,0.021082818508148193,-0.07245144248008728,0.9224818348884583
33,2.2,0.024454563856124878,-0.06608880311250687,0.9028357863426208
34,2.2666666666666666,0.012951228767633438,-0.07386621832847595,0.8922065496444702
35,2.3333333333333335,0.015078295022249222,-0.06988110393285751,0.8828232288360596
36,2.4,0.014455024152994156,-0.06980113685131073,0.8703604340553284
37,2.466666666666667,0.005449723452329636,-0.06587481498718262,0.8633292317390442
38,2.533333333333333,-0.0003257729113101959,-0.06517444550991058,0.8582137227058411
39,2.6,-0.004890069365501404,-0.06785695254802704,0.856194794178009
40,2.6666666666666665,-0.000690992921590805,-0.07096970081329346,0.8600810170173645
41,2.7333333333333334,-0.0010645128786563873,-0.07046608626842499,0.8595440983772278
